#,Company Name,Company Website,Sector Classification,Brief Company Description,HQ Location,Where will roles be located? (post COVID-19),Stage - Series,Current Team Size,Link to Job Postings,Apprx. Total Roles Open,Open to Part-time or Internships?,Engineering,Design,Operations,Sales and Marketing,"Other (PM, Data Science, Legal, etc)",Software Engineer,Frontend Engineer,Backend Engineer,Full Stack Engineer,Mobile Developer,QA Engineer,DevOps,Software Architect,Hardware Engineer,Mechanical Engineer,Systems Engineer,UI/UX Designer,User Researcher,Visual Designer,Creative Director,Finance/ Accounting,Human Resources,Office Manager,Talent/Recruiting,Customer Service,Operations Manager,Executive Assistant,Business Development Representative,Sales Development Representative,Account Executive,Business Development Manager,Account Manager,Sales Manager,Marketer,Marketing Manager,Growth,Customer Success,Business Analyst,Data Scientist,Product Manager,Project Manager,Attorney
26,Shakepay,https://shakepay.co,Consumer Technology,Shakepay allows Canadians to buy bitcoin and pay their friends. We're on a mission to create open access to building wealth.,Canada,"At HQ (as listed above), Montreal, Canada",Seed,1-10 FTE,https://angel.co/company/shakepay/jobs,6-10,,X,X,X,X,,X,X,X,X,X,,X,,,,,X,,,,X,,,,X,X,,,,,,,,,,X,,,,,,
27,Triplebyte,www.triplebyte.com,Enterprise Technology,We’re fixing a broken hiring process — building an efficient way for companies to find exceptional engineers and engineers to find their next big opportunity.,Fully Remote (not only during COVID-19),"Remote (post COVID-19), At HQ (as listed above)",Series B,51-100 FTE,https://triplebyte.com/company/public/triplebyte?ref=jb_covid19,1-5,,X,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
28,Koan,koan.co,Consumer Technology,"Koan is the simple, collaborative way to manage goals and OKRs across organizations. A SaaS-based platform, Koan empowers companies to strengthen strategic processes and continuously deliver on objectives. As the modern leadership platform, Koan gives teams the ability to drive exceptional results through alignment, transparency, and accountability. Learn more at koan.co.",US/Oregon,At HQ (as listed above),Seed,11-50 FTE,https://angel.co/company/koan,1-5,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,
29,Zumper,www.zumper.com,Consumer Technology,"Zumper is on a mission to revolutionize the rental industry by making renting an apartment as easy as booking a hotel. With millions of users every month, we've generated support from top-tier investors and have raised $150 million to date. To help us bring our vision to life, we're searching for bright, passionate, and hard-working people to join our rapidly-growing team and build extraordinary products.",US/California,"Remote (post COVID-19), At HQ (as listed above)",Series D,101-500 FTE,https://www.zumper.com/jobs,11-20,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,X,,X,X,,,X,,
30,Plum,plumhq.com,Healthcare,High quality health insurance and health benefits for teams,India,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,https://angel.co/company/plumhq/jobs,1-5,,X,X,,,X,,,X,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,
31,Qualio,qualio.com,Enterprise Technology,eQMS software for life sciences companies.,US/California,At HQ (as listed above),Seed,1-10 FTE,https://apply.workable.com/qualio/j/E5D3F48404/,1-5,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,
32,Revel,www.hellorevel.com,Consumer Technology,Revel is building the modern community for women over age 50. We are backed by Forerunner Ventures and Y Combinator and were recently named one of the Most Innovative Companies of 2020 by Fast Company.,US/California,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,https://www.notion.so/hellorevel/Careers-at-Revel-a97358b770944985ae74b4830cd3f6eb,1-5,,X,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Viaduct, Inc.",www.viaduct.ai,Enterprise Technology,Machine learning platform for connected vehicles,US/California,At HQ (as listed above),Series A,11-50 FTE,https://www.viaduct.ai/careers,6-10,,X,,,X,X,X,X,X,X,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,
34,"Point Digital Finance, Inc.",point.com,Consumer Technology,"“Point provides the opportunity to stabilize your financial situation without adding costly monthly payments.” - Homeowner in Burlingame, CA
 
 Here at Point, we’re helping homeowners unlock the equity in their homes without taking on further debt. With an investment from Point, homeowners can de-leverage and diversify their wealth, freeing them up to invest in their business, renovate and maintain their home, eliminate debt, and tackle all of life’s expenses from college tuition to medical bills. Our equity investment product is an advantageous alternative for homeowners and investors alike. When partnering with Point, investors now have access to a brand new asset class - homeowner-occupied residential real estate. Point is the first fintech product that is truly aligned with consumers’ interests - when the homeowner does well, Point and its investors do well.
 
 Our Team
 People first
 As a consumer fintech company, we embed integrity, transparency, and trust into everything we do at Point, including how we work. Whether you’re a homeowner, investor, employee, or candidate, it’s people who power our business. We keep the human experience top of mind.
 
 Experts at work
 We’re on a mission to help the 23 million equity-rich, but cash-constrained Americans tap into their home’s wealth. To do so, we have experience and expertise in all areas of the business, especially at the helm. Point’s leadership have previously founded TrialPay (acquired by Visa), Yub (acquired by Coupons.com), Metails (acquired by Buy.com), SiteAdvisor (acquired by McAfee), Affirm, SendGrid (acquired by Twilio), and TXN (acquired by Envestnet).
 
 Championed by the best
 In 2019, Point closed a $22M Series B led by Prudential Financial, DAG Ventures, and Andreessen Horowitz. We’ve received funding from Ribbit Capital, Greylock, SV Angel and Bloomberg Beta as well.",US/California,At HQ (as listed above),Series B,51-100 FTE,https://point.com/careers,1-5,,X,X,X,,X,X,X,,X,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,X,X,,
35,Scope AR,http://scopear.com,Enterprise Technology,"Scope AR is revolutionizing the way people work by taking advantage of new technologies like Augmented Reality. Using AR, we enable knowledge transfer from domain experts to front-line technicians, through the use of real time remote assistance, and AR-enabled work instructions. Fun fact - Scope AR is helping Lockheed Martin and NASA build the future space shuttle Orion with AR-enabled work instructions.",US/California,"Remote (post COVID-19), At HQ (as listed above)",Series A,11-50 FTE,https://www.scopear.com/jobs/,1-5,,X,,,,,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NetSpyGlass,https://www.netspyglass.com,Enterprise Technology,"NetSpyGlass is a fully-programmable, highly-scalable automation platform (SaaS) providing real-time network mapping, monitoring, visualization, analytics and much more for multi-vendor data center and WAN network operators. NetSpyGlass service is Massively scalable real-time monitoring with auto configuration, integration of maps and monitoring data, root-cause alerts and notifications. NetSpyGlass Service also Automatically discover network devices, build topology maps, monitor metrics, collect analytics, generate custom reports and dashboards.",US/California,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,,1-5,,X,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,X,,
37,Pinterest,careers.pinterest.com,Consumer Technology,Bringing people the inspiration to create a life they love,US/California,At HQ (as listed above),Series E+,501+ FTE,Multiple roles/geos,20+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ntropy Network,https://ntropy.network,Enterprise Technology,Enabling machine learning models to learn from data across privacy barriers,Fully Remote (not only during COVID-19),Remote (post COVID-19),Seed,1-10 FTE,https://docs.google.com/document/d/1B0kMa5Gvnq8PIIGNtbk0KDguvRFnGXgJGxjHJUpbpRI/edit?usp=sharing,1-5,,X,,,,X,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
39,ChartHop,https://www.charthop.com,Enterprise Technology,Org management platform for visualizing and planning growth companies,US/New York,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,https://angel.co/company/charthop-inc/jobs,6-10,,X,X,,X,,X,X,X,X,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,
40,Rakuten Viki,www.viki.com,Consumer Technology,OTT Media Company delivering Asian entertainment,Singapore,At HQ (as listed above),,101-500 FTE,talent.rakuten.careers/viki/,6-10,,X,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
41,Apollo Medical Holdings,apollomed.net,Healthcare,"ApolloMed is a physician-driven, integrated population health management company at the forefront of the U.S. movement towards value-based care. We are rapidly building a technology team to meet the needs of a rapidly growing company in the healthcare space.",US/California,At HQ (as listed above),Series E+,501+ FTE,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?ccId&cid=7b2269b4-9683-419a-a78d-368bc8581c60,6-10,,X,,,,X,X,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
42,EnergyHub,https://www.energyhub.com/,Enterprise Technology,Distributed Energy Resource Management Software platform provider,US/New York,At HQ (as listed above),Series E+,51-100 FTE,https://www.energyhub.com/careers,6-10,,X,,,X,X,X,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,X,,X,,X,,,
43,Allcall,allcalltravel.com,Consumer Technology,"Allcall provide curated travel itineraries to modern travelers. We've vetted over 100 influencers, chefs, artists, and travel experts from all over the world to share their insider recommendations and locals-only spots in over 45 destinations.",US/New York,"Remote (post COVID-19), At HQ (as listed above)",Pre-Seed,1-10 FTE,https://angel.co/l/2hhVhr,1-5,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PopSQL,https://popsql.com,Enterprise Technology,"Modern, collaborative SQL editor for teams",Fully Remote (not only during COVID-19),Remote (post COVID-19),Seed,1-10 FTE,https://angel.co/company/popsql/jobs,1-5,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,OhMD,www.OhMD.com,Healthcare,HIPAA Compliant Texting and Telehealth Platform,Fully Remote (not only during COVID-19),Remote (post COVID-19),Series A,11-50 FTE,www.ohmd.com/careers,11-20,,X,,X,X,,X,X,X,X,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,X,,,X,,,,,
46,Saga,https://trysaga.com,Consumer Technology,Saga helps families save memories and stories on voice audio,US/California,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,,1-5,,X,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cottage,https://www.cotta.ge/,Consumer Technology,"Cottage is your A-to-Z ADU solution. We take the stress out of planning, financing, building, and renting an Accessory Dwelling Unit in the Bay Area—from as little as $0 down.",US/California,At HQ (as listed above),Seed,1-10 FTE,,1-5,,X,,,X,X,,,,X,,,,,,,,,,,,X,,,,,,,X,X,X,,,X,,,,,,,,,
48,kea.,https://www.kea.ai/,Consumer Technology,"At kea.ai, we’re on a mission to build the best voice interface for restaurant order management. With a hybrid AI/human experience that guarantees order accuracy and customer satisfaction, we’re on an exciting course to change the way restaurants operate.",US/California,At HQ (as listed above),Seed,11-50 FTE,https://kea.breezy.hr/,1-5,,X,,X,X,,X,,,X,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,
49,SimpliSafe,https://simplisafe.com/,Consumer Technology,"SimpliSafe designs home security systems that are wireless, cellular and so user-friendly they can be set up by anyone in minutes. An ever-expanding arsenal of sensors and the SimpliSafe security camera, SimpliCam, provides all-encompassing protection while integrated apps make comprehensive system control possible from anywhere.",US/Massachusetts,At HQ (as listed above),,501+ FTE,https://boards.greenhouse.io/simplisafe?gh_src=50d7feea1us,20+,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,,X,,X,,X,,X,,X,,X,X,,,X,,X,,
50,BrightHire,BrightHire.ai,Enterprise Technology,"We use speech recognition and NLP to make the hiring process vastly more efficient, effective and fair for companies and candidates.",US/New York,At HQ (as listed above),Seed,1-10 FTE,https://angel.co/company/brighthire/jobs/732135-full-stack-engineer,1-5,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Verkada,https://www.verkada.com/,Enterprise Technology,"By leveraging software to drive innovation, Verkada is redefining the industry of enterprise physical security.",US/California,,Series C,101-500 FTE,https://jobs.lever.co/verkada/,1-5,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
52,Bolt,https://www.bolt.com/,Enterprise Technology,"Our dynamically optimized checkout experience removes friction from checkout, making it easier than ever to convert shoppers into customers.",US/California,,Series B,101-500 FTE,https://www.bolt.com/careers,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Spire,https://spire.com/,Enterprise Technology,"At Spire, we believe smarter satellites and more ground stations mean better coverage and higher quality data for our customers. Our mission is to solve challenges across multiple industries with our easy to use APIs. Spire monitors signals that can only be detected from space and we’re constantly broadening our reach.",US/California,,Series D,101-500 FTE,https://spire.com/careers/jobs/job/?gh_jid=2086975,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Full Harvest,https://www.fullharvest.com/,Enterprise Technology,Business marketplace for imperfect & surplus produce,US/California,,Series A,11-50 FTE,https://www.fullharvest.com/careers,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Shippo,https://goshippo.com/,Enterprise Technology,"Start shipping in minutes with instant access to the best possible discounts from USPS, UPS, DHL, and more. No volume requirements.",US/California,,Series B,51-100 FTE,https://goshippo.com/jobs/#openjobs,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Activision Blizzard Media,https://www.activisionblizzardmedia.com/,Consumer Technology,Activision Blizzard Media is the gateway for brands to the #1 cross-platform gaming company in the Western World,US/California,,Series E+,501+ FTE,,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Loft Orbital,https://www.loftorbital.com/,Enterprise Technology,"Loft Orbital operates microsatellites and flies customer payloads, as a service.",US/California,,Series A,11-50 FTE,https://jobs.lever.co/loftorbital,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Beyond 12,,,,US/California,,,,,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,King,http://king.com/,Consumer Technology,"King is a leading interactive entertainment company for the mobile world, with people all around the world playing one or more of our games. We have developed more than 200 fun titles, offering games that are enjoyed all around the world.",US/California,,Series E+,501+ FTE,https://careers.king.com/jobs/?search=&location=San+Francisco&role=,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Playbyte,https://www.playbyte.io/,Consumer Technology,"Playbyte is building an app that will let anyone create and share fun games on desktop, web, and mobile.",US/California,,Seed,1-10 FTE,https://www.playbyte.io/front-end-engineer,1-5,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Zyper,https://zyper.com/,Enterprise Technology,"Zyper helps brands connect with their fans to drive engagement, insights and sales.",US/California,,Series A,1-10 FTE,https://jobs.lever.co/zyper/d56def98-06b6-45dd-bc2e-c506094f94d4,1-5,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
62,Ridgeline,https://www.ridgelineapps.com/,Enterprise Technology,Building The Enterprise Cloud For Investment Managers,US/California,,Series A,,https://boards.greenhouse.io/ridgeline/jobs/4019697003,1-5,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,SomnologyMD,https://www.somnologymd.com/,Consumer Technology,"Somnology, Inc. is the premier enterprise in the illumination and tracking of sleep patterns for enhanced sleep quality and managing sleep disorders.",US/California,,,,https://www.linkedin.com/posts/somnology_we-are-searching-for-a-professional-proactive-activity-6643580667546386433-ukdc/,1-5,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
64,Monte Carlo Data,https://towardsdatascience.com/good-pipelines-bad-data-e55d9ba17920,Enterprise Technology,,Fully Remote (not only during COVID-19),,Seed,1-10 FTE,lgavish@montecarlodata.com,1-5,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
65,Tandem.chat,https://tandem.chat/,Enterprise Technology,A virtual office for remote teams,US/California,,Seed,,https://www.notion.so/Tandem-is-Hiring-31790502dbcb46ed95573012604b19a5,1-5,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Earnin,https://www.earnin.com/,Consumer Technology,We're fighting unfairness in the financial system.,US/California,,Series C,101-500 FTE,https://www.earnin.com/careers,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Boulevard,https://www.joinblvd.com/,Enterprise Technology,The business management platform that makes work and success simple for premium salons and spas.,US/California,,Series A,11-50 FTE,https://jobs.lever.co/boulevard,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Grand Rounds (hiring potentially frozen),https://grandrounds.com/about-us/,Enterprise Technology,"We are a health tech innovator that uses a powerful insights platform to drive the next evolution of Data Science and ML for healthcare. Think of all of the products out there that help you navigate decisions in your daily life: what to eat, what to listen to, how to drive to your destination without getting stuck in traffic - what if you could apply those same concepts to the most important part of you - your healthcare? Grand Rounds is doing just that.",,,Series D,101-500 FTE,,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,brightwheel,https://mybrightwheel.com,Enterprise Technology,Software as a service for the childcare industry.,US/California,,Series B,51-100 FTE,https://jobs.lever.co/brightwheel,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Ramp,https://tryramp.com/,Enterprise Technology,Ramp helps companies to spend less and stay financially fit during these difficult times.,US/New York,,Series A,11-50 FTE,https://tryramp.com/careers,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Thrive Global,https://thriveglobal.com/,Consumer Technology,"Thrive Global is a leading behavior change tech company helping individuals, corporations and communities improve their well-being and performance through our behavior change platform, storytelling and corporate services. Thrive was founded by Arianna Huffington and launched in 2016 with the mission of changing the way we work and live by ending the collective delusion that burnout is the price we must pay for success. We offer companies and individuals sustainable, science-based solutions to enhance both mental and physical well-being and performance, purpose and relationship with technology. We are committed to accelerating this culture shift around the world. Thrive Global is headquartered in New York City and has offices in San Francisco, Los Angeles, Athens, Mumbai, Melbourne and Bucharest. For more information, visit www.thriveglobal.com.",US/California,,Series B,,https://thriveglobal.com/careers/,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Instacart,https://www.instacart.com/,Consumer Technology,Groceries delivered in as little as 1 hour,US/California,,Series E+,,https://instacart.careers/current-openings/,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
